"Name","School","Rating"
"Ryan Kalkbrenner","Creighton",99
"Johni Broome","Auburn",98.6
"Cooper Flagg","Duke",98.2
"Hunter Dickinson","Kansas",97.6
"Collin Murray-Boyles","South Carolina",97.5
"Zuby Ejiofor","St. John's",97.1
"Yaxel Lendeborg","UAB",96.7
"Zakai Zeigler","Tennessee",96.5
"Bent Leuchten","UC Irvine",96.1
"Oumar Ballo","Indiana",96
"Kam Jones","Marquette",95.9
"Oscar Cluff","South Dakota St.",95.9
"Vladislav Goldin","Michigan",95.7
"Walter Clayton Jr.","Florida",95.6
"Chucky Hepburn","Louisville",95.6
"Danny Wolf","Michigan",95.5
"Bruce Thornton","Ohio St.",95.5
"Nate Bittle","Oregon",95.4
"Cedric Coward","Washington St.",95.4
"Ja'Kobi Gillespie","Maryland",95.4
"Derik Queen","Maryland",95.4
"Norchad Omier","Baylor",95.3
"Trey Kaufman-Renn","Purdue",95.2
"Thomas Sorber","Georgetown",95.2
"Bennett Stirtz","Drake",95.2
"Julian Reese","Maryland",95
"Ryan Nembhard","Gonzaga",95
"Donovan Dent","New Mexico",94.9
"Aniwaniwa Tait-Jones","UC San Diego",94.9
"Nelly Joseph","New Mexico",94.8
"Rafael Castro","George Washington",94.8
"Rasheer Fleming","Saint Joseph's",94.8
"Graham Ike","Gonzaga",94.7
"Dylan Harper","Rutgers",94.7
"Darrion Williams","Texas Tech",94.6
"Max Shulga","VCU",94.5
"Chad Baker-Mazara","Auburn",94.4
"Amari Williams","Kentucky",94.4
"Sean Pedulla","Mississippi",94.4
"Owen Freeman","Iowa",94.4
"Kon Knueppel","Duke",94.4
"Zach Freemantle","Xavier",94.3
"Mark Sears","Alabama",94.3
"Ian Schieffelin","Clemson",94.3
"Steven Ashworth","Creighton",94.2
"Augustas Marciulionis","Saint Mary's",94.2
"Braden Smith","Purdue",94.2
"Alex Condon","Florida",94.2
"Milos Uzan","Houston",94.1
"Adou Thiero","Arkansas",94
"John Tonje","Wisconsin",93.9
"Nique Clifford","Colorado St.",93.9
"David N'Guessan","Kansas St.",93.9
"Kasparas Jakucionis","Illinois",93.9
"Mitchell Saxen","Saint Mary's",93.8
"Alex Karaban","Connecticut",93.8
"Caleb Love","Arizona",93.7
"Daniel Batcho","Louisiana Tech",93.6
"Curtis Jones","Iowa St.",93.4
"Nick Townsend","Yale",93.4
"Brice Williams","Nebraska",93.3
"Tamin Lipsey","Iowa St.",93.3
"Maxime Raynaud","Stanford",93.2
"Robbie Avila","Saint Louis",93.2
"PJ Haggerty","Memphis",93.2
"Alijah Martin","Florida",93
"KeShawn Murphy","Mississippi St.",93
"Alvaro Cardenas","Boise St.",93
"Chase Hunter","Clemson",92.9
"Grant Nelson","Alabama",92.9
"Javon Small","West Virginia",92.8
"Moe Odum","Pepperdine",92.8
"Chaney Johnson","Auburn",92.8
"Tomislav Ivisic","Illinois",92.8
"LJ Cryer","Houston",92.7
"RJ Davis","North Carolina",92.7
"Tyson Degenhart","Boise St.",92.7
"Tucker DeVries","West Virginia",92.6
"Dawson Garcia","Minnesota",92.5
"Mason Falslev","Utah St.",92.5
"Jaden Bradley","Arizona",92.4
"Alvaro Folgueiras","Robert Morris",92.4
"Max Brooks","UMass Lowell",92.3
"Dillon Mitchell","Cincinnati",92.3
"Xaivian Lee","Princeton",92.3
"Eric Dixon","Villanova",92.1
"Arthur Kaluma","Texas",92.1
"Nick Davidson","Nevada",92.1
"Khaman Maluach","Duke",92.1
"Devin McGlockton","Vanderbilt",92
"Jayden Quaintance","Arizona St.",92
"Lance Ware","UT Arlington",91.9
"Marcus Williams","San Francisco",91.9
"Miles Byrd","San Diego St.",91.9
"Keshon Gilbert","Iowa St.",91.8
"Otega Oweh","Kentucky",91.8
"Andrew Carr","Kentucky",91.7
"Igor Milicic Jr.","Tennessee",91.7
"Payton Sandfort","Iowa",91.7
"Tre Donaldson","Michigan",91.7
"Keonte Jones","Cal St. Northridge",91.7
"Josh Hubbard","Mississippi St.",91.7
"Jacksen Moni","North Dakota St.",91.7
"Jacob Ognacevic","Lipscomb",91.6
"Jamiya Neal","Creighton",91.6
"Richie Saunders","BYU",91.6
"Thomas Haugh","Florida",91.6
"Matthew Murrell","Mississippi",91.5
"Jaylen Murray","Mississippi",91.5
"KJ Adams","Kansas",91.5
"Ante Brzovic","Charleston",91.5
"Taye Fields","North Alabama",91.5
"Clifford Omoruyi","Alabama",91.4
"Ben Gregg","Gonzaga",91.4
"Zeke Mayo","Kansas",91.3
"Josh Dix","Iowa",91.3
"Noah Williamson","Bucknell",91.3
"Devin Royal","Ohio St.",91.3
"Coleman Hawkins","Kansas St.",91.2
"Dain Dainja","Memphis",91.2
"Hayden Gray","UC San Diego",91.2
"Steven Crowl","Wisconsin",91.1
"Sion James","Duke",91.1
"Jordan Gainey","Tennessee",91.1
"Baba Miller","Florida Atlantic",91.1
"Paul Otieno","Quinnipiac",91.1
"Nolan Winter","Wisconsin",91.1
"Tayton Conerway","Troy",91.1
"Chaz Lanier","Tennessee",91
"J'Vonne Hadley","Louisville",91
"Kobe Sanders","Nevada",91
"Denver Jones","Auburn",91
"RJ Luis Jr.","St. John's",91
"Darius Johnson","UCF",90.9
"Henri Veesaar","Arizona",90.9
"Anthony Roy","Green Bay",90.8
"Mark Mitchell","Missouri",90.8
"AK Okereke","Cornell",90.8
"Caleb Grill","Missouri",90.7
"Quincy Ballard","Wichita St.",90.7
"Enoch Cheeks","Dayton",90.7
"Ian Martinez","Utah St.",90.7
"Michael Rataj","Oregon St.",90.7
"Essam Mostafa","Middle Tennessee",90.6
"Deivon Smith","St. John's",90.6
"Earl Timberlake","Bryant",90.6
"Kadary Richmond","St. John's",90.6
"Kobe Johnson","UCLA",90.6
"Ryan Conwell","Xavier",90.6
"B.J. Edwards","SMU",90.6
"Malique Ewin","Florida St.",90.6
"Jeremiah Fears","Oklahoma",90.6
"Joe Anderson","Lipscomb",90.5
"Cameron Matthews","Mississippi St.",90.5
"Bez Mbeng","Yale",90.5
"Jaylen Blakes","Stanford",90.5
"Kaleb Banks","Tulane",90.5
"Kylan Boswell","Illinois",90.5
"Dailyn Swain","Xavier",90.5
"Devin Tillis","UC Irvine",90.4
"Jeff Woodward","Colgate",90.4
"Quimari Peterson","East Tennessee St.",90.4
"Jaeden Zackery","Clemson",90.4
"Miles Kelly","Auburn",90.4
"Brian Moore, Jr.","Norfolk St.",90.4
"Ace Bailey","Rutgers",90.4
"Trey Bonham","Chattanooga",90.3
"Pop Isaacs","Creighton",90.3
"Tre Johnson","Texas",90.3
"Steve Settle","Temple",90.2
"Hassan Diarra","Connecticut",90.2
"LeJuan Watts","Washington St.",90.2
"Ernest Udeh Jr.","TCU",90.2
"Dylan Darling","Idaho St.",90.2
"Joshua Jefferson","Iowa St.",90.2
"Xzayvier Brown","Saint Joseph's",90.2
"Tytan Anderson","Northern Iowa",90.1
"Wade Taylor IV","Texas A&M",90.1
"Fletcher Loyer","Purdue",90.1
"Malik Thomas","San Francisco",90
"Hunter Sallis","Wake Forest",90
"Aziz Bandaogo","Cincinnati",89.9
"Sebastian Thomas","Rhode Island",89.9
"Jalen Jackson","Purdue Fort Wayne",89.9
"Emanuel Sharp","Houston",89.9
"Tre'Von Spillers","Wake Forest",89.9
"Tahaad Pettiford","Auburn",89.9
