Player,School,Rating,School_key,Conf,conf_tier,penalty_conf,Rating_add,conf_mult,gap,Rating_conf
Ryan Kalkbrenner,Creighton,99,creighton,Big East,tier1,0.8,99,1,9,99
Johni Broome,Auburn,98.6,auburn,SEC,tier1,0.8,99,1,9,99
Cooper Flagg,Duke,98.2,duke,ACC,tier1,0.8,99,1,9,99
Hunter Dickinson,Kansas,97.6,kansas,B12,tier1,0.8,98.39999999999999,1,8.399999999999991,98.39999999999999
Collin Murray-Boyles,South Carolina,97.5,south carolina,SEC,tier1,0.8,98.3,1,8.299999999999997,98.3
Zuby Ejiofor,St. John's,97.1,st john s,Big East,tier1,0.8,97.89999999999999,1,7.8999999999999915,97.89999999999999
Yaxel Lendeborg,UAB,96.7,uab,AAC,mid,-0.4,96.3,0.9,6.299999999999997,95.67
Zakai Zeigler,Tennessee,96.5,tennessee,SEC,tier1,0.8,97.3,1,7.299999999999997,97.3
Bent Leuchten,UC Irvine,96.1,uc irvine,Big West,low,-2,94.1,0.7,4.099999999999994,92.86999999999999
Oumar Ballo,Indiana,96,indiana,Big Ten,tier1,0.8,96.8,1,6.799999999999997,96.8
Kam Jones,Marquette,95.9,marquette,Big East,tier1,0.8,96.7,1,6.700000000000003,96.7
Oscar Cluff,South Dakota St.,95.9,south dakota st,Summit League,low,-2,93.9,0.7,3.9000000000000057,92.73
Vladislav Goldin,Michigan,95.7,michigan,Big Ten,tier1,0.8,96.5,1,6.5,96.5
Walter Clayton Jr.,Florida,95.6,florida,SEC,tier1,0.8,96.39999999999999,1,6.3999999999999915,96.39999999999999
Chucky Hepburn,Louisville,95.6,louisville,ACC,tier1,0.8,96.39999999999999,1,6.3999999999999915,96.39999999999999
Danny Wolf,Michigan,95.5,michigan,Big Ten,tier1,0.8,96.3,1,6.299999999999997,96.3
Bruce Thornton,Ohio St.,95.5,ohio st,Big Ten,tier1,0.8,96.3,1,6.299999999999997,96.3
Nate Bittle,Oregon,95.4,oregon,Big Ten,tier1,0.8,96.2,1,6.200000000000003,96.2
Cedric Coward,Washington St.,95.4,washington st,WCC,mid,-0.4,95,0.9,5,94.5
Ja'Kobi Gillespie,Maryland,95.4,maryland,Big Ten,tier1,0.8,96.2,1,6.200000000000003,96.2
Derik Queen,Maryland,95.4,maryland,Big Ten,tier1,0.8,96.2,1,6.200000000000003,96.2
Norchad Omier,Baylor,95.3,baylor,B12,tier1,0.8,96.1,1,6.099999999999994,96.1
Trey Kaufman-Renn,Purdue,95.2,purdue,Big Ten,tier1,0.8,96,1,6,96
Thomas Sorber,Georgetown,95.2,georgetown,Big East,tier1,0.8,96,1,6,96
Bennett Stirtz,Drake,95.2,drake,MVC,mid,-0.4,94.8,0.9,4.799999999999997,94.32
Julian Reese,Maryland,95,maryland,Big Ten,tier1,0.8,95.8,1,5.799999999999997,95.8
Ryan Nembhard,Gonzaga,95,gonzaga,WCC,mid,-0.4,94.6,0.9,4.599999999999994,94.14
Donovan Dent,New Mexico,94.9,new mexico,Mountain West,tier1,0.8,95.7,1,5.700000000000003,95.7
Aniwaniwa Tait-Jones,UC San Diego,94.9,uc san diego,Big West,low,-2,92.9,0.7,2.9000000000000057,92.03
Nelly Joseph,New Mexico,94.8,new mexico,Mountain West,tier1,0.8,95.6,1,5.599999999999994,95.6
Rafael Castro,George Washington,94.8,george washington,A10,mid,-0.4,94.39999999999999,0.9,4.3999999999999915,93.96
Rasheer Fleming,Saint Joseph's,94.8,saint joseph s,A10,mid,-0.4,94.39999999999999,0.9,4.3999999999999915,93.96
Graham Ike,Gonzaga,94.7,gonzaga,WCC,mid,-0.4,94.3,0.9,4.299999999999997,93.87
Dylan Harper,Rutgers,94.7,rutgers,Big Ten,tier1,0.8,95.5,1,5.5,95.5
Darrion Williams,Texas Tech,94.6,texas tech,B12,tier1,0.8,95.39999999999999,1,5.3999999999999915,95.39999999999999
Max Shulga,VCU,94.5,vcu,A10,mid,-0.4,94.1,0.9,4.099999999999994,93.69
Chad Baker-Mazara,Auburn,94.4,auburn,SEC,tier1,0.8,95.2,1,5.200000000000003,95.2
Amari Williams,Kentucky,94.4,kentucky,SEC,tier1,0.8,95.2,1,5.200000000000003,95.2
Sean Pedulla,Mississippi,94.4,mississippi,SEC,tier1,0.8,95.2,1,5.200000000000003,95.2
Owen Freeman,Iowa,94.4,iowa,Big Ten,tier1,0.8,95.2,1,5.200000000000003,95.2
Kon Knueppel,Duke,94.4,duke,ACC,tier1,0.8,95.2,1,5.200000000000003,95.2
Zach Freemantle,Xavier,94.3,xavier,Big East,tier1,0.8,95.1,1,5.099999999999994,95.1
Mark Sears,Alabama,94.3,alabama,SEC,tier1,0.8,95.1,1,5.099999999999994,95.1
Ian Schieffelin,Clemson,94.3,clemson,ACC,tier1,0.8,95.1,1,5.099999999999994,95.1
Steven Ashworth,Creighton,94.2,creighton,Big East,tier1,0.8,95,1,5,95
Augustas Marciulionis,Saint Mary's,94.2,saint mary s,WCC,mid,-0.4,93.8,0.9,3.799999999999997,93.42
Braden Smith,Purdue,94.2,purdue,Big Ten,tier1,0.8,95,1,5,95
Alex Condon,Florida,94.2,florida,SEC,tier1,0.8,95,1,5,95
Milos Uzan,Houston,94.1,houston,B12,tier1,0.8,94.89999999999999,1,4.8999999999999915,94.89999999999999
Adou Thiero,Arkansas,94,arkansas,SEC,tier1,0.8,94.8,1,4.799999999999997,94.8
John Tonje,Wisconsin,93.9,wisconsin,Big Ten,tier1,0.8,94.7,1,4.700000000000003,94.7
Nique Clifford,Colorado St.,93.9,colorado st,Mountain West,tier1,0.8,94.7,1,4.700000000000003,94.7
David N'Guessan,Kansas St.,93.9,kansas st,B12,tier1,0.8,94.7,1,4.700000000000003,94.7
Kasparas Jakucionis,Illinois,93.9,illinois,Big Ten,tier1,0.8,94.7,1,4.700000000000003,94.7
Mitchell Saxen,Saint Mary's,93.8,saint mary s,WCC,mid,-0.4,93.39999999999999,0.9,3.3999999999999915,93.05999999999999
Alex Karaban,Connecticut,93.8,connecticut,Big East,tier1,0.8,94.6,1,4.599999999999994,94.6
Caleb Love,Arizona,93.7,arizona,B12,tier1,0.8,94.5,1,4.5,94.5
