"","Name","pos","exp","hgt","Team","conf","mpg","ppg","rpg","apg","spg","bpg","two_pct","three_pct","ft_pct","tov","ast_to","efg","ts","usg","ortg","drtg","rim_pct","mid_pct","obpm","dbpm","bpm","ftr","pfr","Rating","year"
"1","DeJuan Clayton","Wing G","Sr","6-2","Manhattan","MAAC",25,11,3.5,3,0,0,0.643,0,0.571,2.5,1.2,47.4,49.27,27.8,88.3,114.019,0.75,0.4286,-3.00139,-4.18666,-7.18806,36.8,1.6,34,2024
"2","Seth Towns","Stretch 4","Sr","6-9","Howard","MEAC",32.375,14.125,6.5312,2.4688,0.9688,0.4375,0.377,0.343,0.838,1.96879989660292,1.25396187,45.2,52.19,22.1,108.2,105.605,0.4921,0.2955,0.710116,-1.20958,-0.499461,41,3.7,69,2024
"3","Terrence Lewis","Wing G","Sr","6-6","Grambling St.","SWAC",17.7391,7.913,2.2609,0.3478,0.4783,0.1739,0.621,0.439,0.625,0.78260001596702,0.44441604,63.9,64.03,19,116.1,107.2,0.6471,0.5833,3.84756,-0.389764,3.45779,13.9,3.5,66,2024
"4","Austin Williams","Wing G","Sr","6-4","Rutgers","B10",15.8846,3.9615,2.6538,0.6154,0.4615,0.2692,0.486,0.375,0.395,1.0768999860724,0.57145511,50,48.56,16.5,85.7,98.8138,0.5,0.375,-3.75734,2.32482,-1.43252,43.2,4.1,66,2024
"5","Avery Wilson","Wing G","Sr","6-4","Southeastern Louisiana","Slnd",11.5938,3.1875,1.3438,0.7812,0.4062,0.0938,0.459,0.292,0.513,0.750000007200461,1.04159999,45.1,47.15,16.7,87.8,109.785,0.5385,0.2727,-5.71204,-0.732916,-6.44495,63.9,5.3,42,2024
"6","Jalen Jordan","Combo G","Sr","6-2","Middle Tennessee","CUSA",16.5333,6.4333,1.6333,0.9,0.5333,0,0.457,0.34,0.732,0.933300042866471,0.96432011,49.6,54.07,20.4,102.4,108.066,0.4286,0.4762,0.331246,-0.689237,-0.357991,40.6,2.1,57,2024
"7","Cam Martin","PF/C","Sr","6-9","Boise St.","MWC",17.625,5.25,4.4062,2.4375,0.5938,0.2188,0.548,0.2,0.683,1.59379995275552,1.52936383,49.1,53.99,20.8,103.8,99.773,0.5763,0.48,0.959392,2.69705,3.65644,57.8,4.6,75,2024
"8","Chuck O'Bannon Jr.","Stretch 4","Sr","6-7","TCU","B12",14.5806,5.5161,2.5806,0.8387,0.3548,0.4516,0.471,0.365,0.776,0.258100004097842,3.24951564,50.8,55.42,16.6,126.1,102.693,0.6061,0.3429,3.21623,1.23216,4.44839,37.4,4.3,77,2024
"9","Cam Bacote","Pure PG","Sr","6-3","Georgetown","BE",7.9412,0.7059,0.2353,1.1176,0.1765,0,0.429,0.333,0,0.529400008744385,2.1110691,46.2,46.15,10.1,89.9,120.375,0.4286,NA,-3.88599,-2.52906,-6.41505,0,2.1,50,2024
"10","Michael Hueitt Jr.","Wing G","Sr","6-3","Pittsburgh","ACC",7.8,3.2,0.6,0,0.4,0,1,0.4,0,NA,NA,80,73.06,11.5,138.7,102.27,1,1,-0.737712,3.52947,2.79176,20,5.1,41,2024
