player,team,conf,pos,g,mpg,ppg,rpg,apg,spg,bpg,ts,efg,tpar,team_z,sos_z,opp_z_w,rating_raw,rating
JuJu Watkins,USC Trojans,Big Ten,Guard,35,32.417142857142856,22.542857142857144,6.4,3.2285714285714286,2.057142857142857,1.6571428571428573,0.5532648939750926,0.4790268456375839,0.32550335570469796,1.974499619619242,1.968354199713711,0,97.99999999970969,98
Paige Bueckers,UConn Huskies,Big East,Guard,40,29.152916666666663,18.9,4.2,4.4,2.025,0.725,0.638039295118493,0.5996275605214153,0.31098696461824954,2.25373778543095,1.9398922039223196,0,97.70968396070282,98
Hannah Hidalgo,Notre Dame Fighting Irish,ACC,Guard,34,33.99852941176471,22.38235294117647,4.676470588235294,3.411764705882353,3.5,0.14705882352941177,0.575817191283293,0.5165217391304348,0.26956521739130435,2.036814318070437,1.965896227809094,0,97.41946813359094,97
Makayla Timpson,Florida State Seminoles,ACC,Center,32,31.008333333333336,17.78125,10.65625,1,1.78125,3.09375,0.5946409163113452,0.5509708737864077,0.019417475728155338,1.650179001111128,1.752058284167248,0,97.12935251386054,97
Payton Verhulst,Oklahoma Sooners,SEC,Guard,35,29.80285714285714,14.942857142857143,5.714285714285714,3.8857142857142857,1.4,0.8285714285714286,0.5515016028344862,0.5160919540229885,0.542528735632184,1.822566879537598,2.1342320088440916,0,96.83933709699735,97
Sarah Strong,UConn Huskies,Big East,Forward,40,29.203750000000003,16.425,8.9,3.55,2.3,1.65,0.662138192372813,0.6497844827586207,0.3275862068965517,2.25373778543095,1.9398922039223196,0,96.54942187848589,97
Serah Williams,Wisconsin Badgers,Big Ten,Center,29,32.63850574712644,19.344827586206897,9.793103448275861,2.4827586206896552,1.103448275862069,2.2758620689655173,0.5496982049071099,0.49544419134396356,0.02733485193621868,0.9378010911406979,1.7761641294075792,0,96.25960685380915,96
Kendall Bostic,Illinois Fighting Illini,Big Ten,Center,31,35.58333333333333,15.516129032258064,11.35483870967742,1.8709677419354838,0.6774193548387096,1.064516129032258,0.5714760954281912,0.5444162436548223,0.10406091370558376,1.4701957506528969,1.722945328783347,0,95.96989201844944,96
Aneesah Morrow,LSU Tigers,SEC,Center,37,33.11036036036036,18.216216216216218,13.108108108108109,1.5405405405405406,2.4054054054054053,0.5405405405405406,0.5435834569972255,0.5,0.07050092764378478,1.884807796622678,1.960229489590883,0,95.6802773678878,96
Sedona Prince,TCU Horned Frogs,B12,Center,38,32.239035087719294,16.763157894736842,9.131578947368421,2.3684210526315788,0.8947368421052632,2.9473684210526314,0.615530303030303,0.5842572062084257,0.011086474501108648,1.778736753683608,1.6039355091313476,0,95.39076289760384,95
