"Name","School","Rating"
"Paige Bueckers","UConn Huskies",99
"Ally Becki","Ball State Cardinals",98.1
"Katie Dinnebier","Drake Bulldogs",97.5
"Serena Sundell","Kansas State Wildcats",97.1
"Sarah Strong","UConn Huskies",96.9
"Megan McConnell","Duquesne Dukes",96.4
"Olivia Miles","Notre Dame Fighting Irish",96.1
"Payton Verhulst","Oklahoma Sooners",95.7
"Georgia Amoore","Kentucky Wildcats",95.6
"Kymora Johnson","Virginia Cavaliers",95.5
"Kiki Rice","UCLA Bruins",95.3
"Tonie Morgan","Georgia Tech Yellow Jackets",95.2
"Addy Brown","Iowa State Cyclones",95.2
"Emily Ryan","Iowa State Cyclones",95.1
"Lacy Stokes","Missouri State Lady Bears",94.9
"O'Mariah Gordon","Florida State Seminoles",94.7
"Paula Suarez","George Mason Patriots",94.7
"Haven Ford","Murray State Racers",94.6
"Hailey Van Lith","TCU Horned Frogs",94.5
"Kitty Henderson","Columbia Lions",94.3
"Harmoni Turner","Harvard Crimson",94.3
"Saniya Rivers","NC State Wolfpack",94.2
"Jada Walker","Baylor Bears",94
"Ta'Niya Latson","Florida State Seminoles",93.8
"Emilia Long","Alaska Anchorage Seawolves",93.7
"Diamond Johnson","Norfolk State Spartans",93.6
"Jayden Marable","Coastal Carolina Chanticleers",93.6
"Grace Larkins","South Dakota Coyotes",93.6
"Trinity San Antonio","Grand Canyon Lopes",93.6
"Josie Gilvin","Western Kentucky Lady Toppers",93.6
"Cecelia Collins","Columbia Lions",93.4
"Kelsie Siegner","Eastern Oregon Mountaineers",93.3
"Makyra Tramble","Oral Roberts Golden Eagles",93.2
"Sara Guerreiro","Cleveland State Vikings",93.1
"Avery Brittingham","UT Arlington Mavericks",93
"Jessica Bollwahn","Regis (CO) Rangers",93
"Taylor Barbot","Charleston Cougars",93
"Kiara Jackson","UNLV Lady Rebels",92.9
"Noelani Cornfield","Buffalo Bulls",92.9
"Katelyn Young","Murray State Racers",92.8
"Alexis Mead","Western Kentucky Lady Toppers",92.8
"Ny'Ceara Pryor","Sacred Heart Pioneers",92.8
"Chloe Moore-McNeil","Indiana Hoosiers",92.7
"Jaelyn Glenn","Kansas State Wildcats",92.5
"Maya McDermott","Northern Iowa Panthers",92.5
"Sarah Andrews","Baylor Bears",92.4
"Samara Spencer","Tennessee Lady Volunteers",92.3
"Alexis Mark","Portland Pilots",91.9
"Laura Ziegler","Saint Joseph's Hawks",91.9
"Ashlyn Traylor-Walker","Stephen F. Austin Ladyjacks",91.8
"JuJu Watkins","USC Trojans",91.8
"Madison Scott","Ole Miss Rebels",91.7
"En'Dya Buford","Old Dominion Monarchs",91.7
"Peyton Carter","Tennessee Tech Golden Eagles",91.6
"Emilee Hope","Oakland City Mighty Oaks",91.6
"Zoe Brooks","NC State Wolfpack",91.6
"Anna Foley","Quinnipiac Bobcats",91.6
"Isabel Grimes","Montevallo Falcons",91.6
"Melannie Daley","Northwestern Wildcats",91.5
"Maggie Doogan","Richmond Spiders",91.5
"Kaitlyn Flanagan","Holy Cross Crusaders",91.5
"Rori Harmon","Texas Longhorns",91.4
"Sonia Citron","Notre Dame Fighting Irish",91.4
"Lucy Olsen","Iowa Hawkeyes",91.4
"Jordan Harrison","West Virginia Mountaineers",91.4
"Sedona Prince","TCU Horned Frogs",91.2
"Tara Wallack","Washington State Cougars",91.2
"Hannah Hidalgo","Notre Dame Fighting Irish",91.2
"Zaay Green","Alabama Crimson Tide",91.1
"Haley Cavinder","Miami Hurricanes",91
"Lauren Jensen","Creighton Bluejays",91
"Paige Meyer","South Dakota State Jackrabbits",91
"Addie Budnik","Richmond Spiders",90.9
"Anaiyah Tu'ua","California Baptist Lancers",90.9
"Kirsten Lewis-Williams","Buffalo Bulls",90.9
"Liv McGill","Florida Gators",90.8
"Malene Pedersen","Wyoming Cowgirls",90.7
"Sabria Dean","Lamar Cardinals",90.6
"Makayla Timpson","Florida State Seminoles",90.5
"Anaya James","Pacific Tigers",90.4
"Hannah Spainhour","Emory & Henry Wasps",90.4
"Derrica McCall","Shorter Hawks",90.4
"Kate Novik","Morehead State Eagles",90.4
"Kaety L'Amoreaux","Fairfield Stags",90.3
"Te-Hina Paopao","South Carolina Gamecocks",90.2
"Bella Earle","Abilene Christian Wildcats",90.2
"Ali Saunders","Southern Indiana Screaming Eagles",90.2
"Emma Ronsiek","Colorado State Rams",90.1
"Tori McKinney","Minnesota Golden Gophers",90.1
"Lachelle Austin","Ball State Cardinals",90
"Amaya Battle","Minnesota Golden Gophers",89.9
"Mya Blake","Northwestern State Lady Demons",89.9
"Serah Williams","Wisconsin Badgers",89.8
"Naudia Evans","Loyola Marymount Lions",89.7
"Amy Velasco","Bowling Green Falcons",89.7
"Angel Jones","Coppin State Eagles",89.7
"Paige Kohler","Bowling Green Falcons",89.7
"Jasmine Bascoe","Villanova Wildcats",89.7
"Dalayah Daniels","Washington Huskies",89.6
"Sarah Ashlee Barker","Alabama Crimson Tide",89.6
"Yvonne Ejim","Gonzaga Bulldogs",89.6
"Clara Strack","Kentucky Wildcats",89.6
"Koi Love","UT Arlington Mavericks",89.5
"Alice Recanati","Eastern Kentucky Colonels",89.5
"Avery Koenen","North Dakota State Bison",89.5
"Emme Shearer","Portland Pilots",89.4
"Tuti Jones","Belmont Bruins",89.4
